id;name;address;phone
1;Isle;benchmark;1-695-755-5380 x473
2;Generic Customizable International;orchid;1-269-279-5447 x80237
3;Steel Corporate enable;Automotive;653.960.4596 x94728
4;protocol Customer;withdrawal;(705) 763-8156
5;Awesome;District Graphic;482-433-4123 x2806
6;Cambridgeshire strategize plum;Re-contextualized;(518) 445-8868 x64522
7;Computer;quantify;451.450.3083
8;Solomon Grass-roots monitor;Seamless withdrawal;(765) 942-3555 x82133
9;dynamic indexing RAM;Ruble Gorgeous mobile;533.741.1919
10;Berkshire Toys;tan;473.404.0670 x5408
